time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-06-18T18:01:28.270Z,40.2060013,-121.3388367,7.84,2.87,md,45,77,0.1527,0.13,nc,nc72468346,2015-06-18T18:09:08.598Z,"14km SW of Chester, California",earthquake
2015-06-18T17:47:31.470Z,46.1503333,-120.7061667,9.5,3.14,ml,34,38,0.1814,0.13,uw,uw61029517,2015-06-18T18:03:54.269Z,"37km NNE of Goldendale, Washington",earthquake
2015-06-18T15:20:31.000Z,19.079,-65.471,51,3.2,Md,5,226.8,0.87406077,0.2,pr,pr15169006,2015-06-18T17:49:44.040Z,"81km NNE of Vieques, Puerto Rico",earthquake
2015-06-18T10:48:58.990Z,-11.376,163.2671,30.45,4.7,mb,,85,3.79,0.94,us,us10002jym,2015-06-18T11:09:28.291Z,"179km SE of Kirakira, Solomon Islands",earthquake
2015-06-18T09:10:48.070Z,42.7807,-100.4825,5,3.3,mb_lg,,38,1.283,1.34,us,us10002jxn,2015-06-18T17:19:08.321Z,"11km SSE of Valentine, Nebraska",earthquake
2015-06-18T08:28:57.750Z,21.6869,143.0898,298.81,5,mb,,97,5.447,0.75,us,us10002jxj,2015-06-18T16:31:26.091Z,"226km NW of Farallon de Pajaros, Northern Mariana Islands",earthquake
2015-06-18T07:50:37.300Z,18.6406,-66.8265,13,2.8,Md,12,230.4,0.3000373,0.28,pr,pr15169002,2015-06-18T15:53:08.748Z,"17km N of Hatillo, Puerto Rico",earthquake
2015-06-18T07:28:56.100Z,-19.1431,169.6001,30.63,5.1,mb,,81,2.751,0.79,us,us10002jx7,2015-06-18T15:31:28.255Z,"57km NE of Isangel, Vanuatu",earthquake
2015-06-18T07:23:20.400Z,19.8411,-66.125,25,3.3,Md,10,291.6,1.5810349,0.21,pr,pr15169004,2015-06-18T15:25:47.293Z,"152km N of San Juan, Puerto Rico",earthquake
2015-06-18T07:19:35.700Z,18.8276,-67.4765,4,2.9,Md,9,219.6,0.44017449,0.18,pr,pr15169003,2015-06-18T15:22:16.872Z,"54km NW of San Antonio, Puerto Rico",earthquake
2015-06-18T06:45:53.270Z,-29.7559,-177.4533,43.2,4.7,mb,,134,0.656,0.96,us,us10002jx0,2015-06-18T14:48:32.165Z,"69km SE of Raoul Island, New Zealand",earthquake
2015-06-18T03:32:22.460Z,33.2703333,-116.7898333,10.67,2.61,ml,95,20,0.04303,0.22,ci,ci37402688,2015-06-18T15:38:48.820Z,"4km NW of Lake Henshaw, California",earthquake
2015-06-18T03:28:07.120Z,51.289,178.8442,25.26,5,mb,,177,0.299,1.05,us,us10002jw6,2015-06-18T11:30:45.610Z,"77km SSE of Little Sitkin Island, Alaska",earthquake
2015-06-18T03:21:46.100Z,19.4568,-65.8295,40,3.2,Md,8,280.8,1.17769134,0.25,pr,pr15169001,2015-06-18T11:24:29.480Z,"113km NNE of San Juan, Puerto Rico",earthquake
2015-06-18T01:45:47.860Z,2.775,128.5256,212.9,5.3,mb,,89,2.302,1.13,us,us10002jvs,2015-06-18T09:48:25.269Z,"129km NNE of Tobelo, Indonesia",earthquake
2015-06-18T00:24:49.200Z,18.8285,-64.2204,39,2.8,Md,5,345.6,0.14462876,0.03,pr,pr15169000,2015-06-18T08:27:17.163Z,"61km NE of Road Town, British Virgin Islands",earthquake
2015-06-17T23:12:12.280Z,38.3526649,-122.4023361,10.22,2.75,md,62,47,0.0447,0.13,nc,nc72467761,2015-06-18T10:29:05.842Z,"6km SSW of Yountville, California",earthquake
2015-06-17T22:18:41.710Z,36.7981682,-121.5238342,6.75,2.56,md,56,39,0.02784,0.07,nc,nc72467741,2015-06-18T14:20:08.130Z,"5km SSE of San Juan Bautista, California",earthquake
2015-06-17T22:08:48.660Z,17.4326,145.8764,131.1,4.8,mb,,52,1.096,0.67,us,us10002jtu,2015-06-18T06:11:16.519Z,"75km S of Pagan, Northern Mariana Islands",earthquake
2015-06-17T20:47:29.000Z,67.051,-143.4976,28.2,3,ml,,,,0.71,ak,ak11628082,2015-06-18T04:50:07.969Z,"95km NE of Fort Yukon, Alaska",earthquake
2015-06-17T19:17:08.570Z,36.2887,-97.5208,5,4.2,mwr,,61,0.431,0.22,us,us10002jrl,2015-06-18T17:44:07.563Z,"20km W of Perry, Oklahoma",earthquake
2015-06-17T18:53:08.000Z,62.8814,-149.691,67.6,2.6,ml,,,,0.88,ak,ak11627935,2015-06-18T02:55:46.733Z,"65km NNE of Talkeetna, Alaska",earthquake
2015-06-17T18:50:35.840Z,38.2021675,-122.6763306,5.48,2.5,md,5,202,0.6119,0.04,nc,nc72467641,2015-06-18T09:31:42.435Z,"4km SW of Petaluma, California",earthquake
2015-06-17T17:07:04.310Z,36.7971649,-121.524498,7.01,2.62,md,55,39,0.0289,0.08,nc,nc72467606,2015-06-17T17:38:04.577Z,"5km SSE of San Juan Bautista, California",earthquake
2015-06-17T16:39:18.840Z,24.0115,142.0541,30.99,4.7,mb,,42,3.073,1.13,us,us20002qr8,2015-06-18T00:41:45.276Z,"112km SE of Iwo Jima, Japan",earthquake
2015-06-17T15:34:45.000Z,52.1891,-169.9204,36.6,3.2,ml,,,,0.69,ak,ak11627812,2015-06-17T23:37:25.886Z,"72km SE of Yunaska Island, Alaska",earthquake
2015-06-17T13:58:54.000Z,51.561,-175.5574,32.2,4.5,ml,,,,0.98,ak,ak11627750,2015-06-17T22:01:21.884Z,"83km ESE of Adak, Alaska",earthquake
2015-06-17T13:02:09.680Z,-6.1289,130.2519,128.62,4,mb,,154,2.114,0.66,us,us20002qna,2015-06-17T21:05:07.985Z,"233km NNW of Saumlaki, Indonesia",earthquake
2015-06-17T12:51:33.140Z,-35.362,-17.3915,10,7,mww,,65,21.955,1.53,us,us20002qn7,2015-06-17T21:06:03.986Z,"Southern Mid-Atlantic Ridge",earthquake
2015-06-17T09:00:32.410Z,-32.6151,179.4316,401.22,4.6,mb,,127,5.021,0.65,us,us20002qm5,2015-06-17T17:03:02.386Z,"204km SW of L'Esperance Rock, New Zealand",earthquake
2015-06-17T08:48:36.030Z,-5.4984,146.9375,192.74,4.5,mb,,68,3.887,0.97,us,us20002qm0,2015-06-17T16:51:21.168Z,"130km ESE of Madang, Papua New Guinea",earthquake
2015-06-17T07:42:56.620Z,1.5061,98.9504,104.7,4.6,mb,,109,1.18,0.98,us,us20002qlm,2015-06-17T15:45:24.709Z,"32km SE of Sibolga, Indonesia",earthquake
2015-06-17T07:21:17.340Z,-20.3047,-70.636,40.7,4.6,mb,,140,0.475,0.93,us,us20002qld,2015-06-17T15:23:49.335Z,"52km W of Iquique, Chile",earthquake
2015-06-17T02:41:23.620Z,-21.4754,-66.7816,222.59,4.6,mb,,35,2.276,1.01,us,us20002qjt,2015-06-17T10:44:06.499Z,"82km SW of Atocha, Bolivia",earthquake
2015-06-17T02:31:19.400Z,-3.1437,147.2459,10,4.7,mb,,75,5.016,0.96,us,us20002qjs,2015-06-17T03:06:38.424Z,"124km S of Lorengau, Papua New Guinea",earthquake
2015-06-17T02:16:23.200Z,18.5748,-65.0313,8,2.7,Md,8,212.4,0.23356197,0.3,pr,pr15168000,2015-06-17T10:19:00.212Z,"27km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-06-17T02:15:13.610Z,28.3005,85.8757,10,4.4,mb,,90,0.767,1.35,us,us20002qjl,2015-06-17T02:42:14.158Z,"18km NNW of Chongdui, China",earthquake
2015-06-17T01:53:04.470Z,-40.0505,176.6987,52.78,4.2,mb,,155,0.717,0.72,us,us20002qjg,2015-06-17T03:25:36.946Z,"47km SSW of Hastings, New Zealand",earthquake
2015-06-17T01:35:07.940Z,31.4715,-115.4921667,6,3.14,ml,6,116,0.4257,0.22,ci,ci37401784,2015-06-17T17:04:48.723Z,"89km SSW of Alberto Oviedo Mota, B.C., MX",earthquake
2015-06-17T00:30:00.510Z,27.8706,85.3391,22,4.3,mb,,89,0.159,1.12,us,us20002qj4,2015-06-17T15:42:08.201Z,"18km N of Kathmandu, Nepal",earthquake
2015-06-17T00:13:20.090Z,27.7209,85.2594,7.4,3.8,mb,,173,0.05,1.46,us,us20002qj3,2015-06-17T07:21:45.306Z,"4km NNW of Kirtipur, Nepal",earthquake
2015-06-16T23:52:28.410Z,62.1256,-123.7765,14.36,4.2,mb,,55,4.832,1.47,us,us20002qit,2015-06-17T07:55:10.631Z,"126km S of Wrigley, Canada",earthquake
2015-06-16T23:51:03.090Z,-6.6735,121.4827,15.78,4.1,mb,,124,2.088,0.9,us,us20002qiv,2015-06-17T07:53:48.729Z,"182km SW of Baubau, Indonesia",earthquake
2015-06-16T23:34:08.620Z,-5.367,146.2801,141.11,4.4,mb,,78,3.475,0.41,us,us20002qiq,2015-06-17T03:08:19.677Z,"55km ESE of Madang, Papua New Guinea",earthquake
2015-06-16T22:11:18.000Z,36.6633,-98.4592,7.294,2.7,ml,,116,,0.5,us,us10002jqm,2015-06-17T23:10:10.746Z,"13km SW of Cherokee, Oklahoma",earthquake
2015-06-16T21:22:45.580Z,38.3905,-119.3853333,4.06,3.17,ml,80,81,0.121,0.11,nc,nc72467186,2015-06-17T05:25:23.770Z,"20km NW of Bridgeport, California",earthquake
2015-06-16T19:57:04.390Z,35.6806,140.8211,47.91,4.3,mb,,157,0.75,0.56,us,us20002qfv,2015-06-17T15:34:13.203Z,"5km S of Hasaki, Japan",earthquake
2015-06-16T19:49:53.000Z,57.2936,-156.1765,0.3,2.5,ml,,,,0.82,ak,ak11627029,2015-06-17T03:52:24.233Z,"134km W of Larsen Bay, Alaska",earthquake
2015-06-16T19:11:24.470Z,19.1408329,-155.4466705,41.8,2.5,ml,28,177,0.02058,0.29,hv,hv60961536,2015-06-17T13:55:50.040Z,"7km SSE of Pahala, Hawaii",earthquake
2015-06-16T19:04:58.350Z,19.066,-155.4651642,39.95,2.65,md,15,269,0.1822,0.21,hv,hv60961521,2015-06-17T03:07:41.049Z,"15km S of Pahala, Hawaii",earthquake
2015-06-16T19:02:17.680Z,19.1261673,-155.5350037,49.4,2.79,ml,56,154,0.0748,0.35,hv,hv60961511,2015-06-17T13:52:30.040Z,"10km SSW of Pahala, Hawaii",earthquake
2015-06-16T18:13:13.780Z,33.8593333,-120.2595,1.68,2.57,ml,9,203,0.1917,0.2,ci,ci37401408,2015-06-16T21:50:45.183Z,"17km WSW of Santa Rosa Is., California",earthquake
2015-06-16T17:49:40.850Z,-6.4691,129.9961,159.03,4.5,mb,,100,1.982,0.75,us,us20002qds,2015-06-17T13:36:17.726Z,"219km NW of Saumlaki, Indonesia",earthquake
2015-06-16T17:43:15.680Z,40.3673333,-125.1826667,15.63,2.68,md,18,294,0.6542,0.28,nc,nc72467116,2015-06-17T01:45:57.203Z,"81km WSW of Ferndale, California",earthquake
2015-06-16T16:25:06.260Z,7.5015,125.7531,52.31,4.4,mb,,117,0.462,0.66,us,us20002qcq,2015-06-17T00:27:41.115Z,"0km ENE of New Leyte, Philippines",earthquake
2015-06-16T15:35:57.600Z,36.5158,-97.2814,4.871,3.1,ml,,104,,0.27,us,us20002qbk,2015-06-17T14:30:22.664Z,"18km S of Tonkawa, Oklahoma",earthquake
2015-06-16T15:20:15.000Z,58.1934,-142.6473,0.9,2.6,ml,,,,0.53,ak,ak11626886,2015-06-16T23:22:44.555Z,"209km S of Cape Yakataga, Alaska",earthquake
2015-06-16T15:16:07.690Z,23.4489,121.7334,26.97,4.5,mb,,101,0.404,0.78,us,us20002qca,2015-06-16T23:18:53.888Z,"59km SSE of Hualian, Taiwan",earthquake
2015-06-16T15:06:25.840Z,-29.735,-70.0896,10,4.6,mb,,89,0.754,1.45,us,us20002qaz,2015-06-16T23:09:01.758Z,"68km ENE of Vicuna, Chile",earthquake
2015-06-16T14:46:33.000Z,-32.427,-68.772,136,4.5,mb,,,,1.5,us,us20002qat,2015-06-16T22:49:00.698Z,"51km N of Mendoza, Argentina",earthquake
2015-06-16T14:44:30.790Z,45.8595,151.9575,35.25,4.6,mb,,173,6.454,0.55,us,us20002qaw,2015-06-16T22:47:14.217Z,"Kuril Islands",earthquake
2015-06-16T14:16:33.000Z,56.6582,-158.5234,1,3.8,ml,,,,0.96,ak,ak11626832,2015-06-16T22:19:18.057Z,"47km NNE of Chignik Lake, Alaska",earthquake
